Project_code	Submitter_donor_ID	Normal_WGS_aliquot_ID	Tumour_WGS_aliquot_ID	Stars	Mean_Coverage_Normal	Mean_Coverage_Tumour	Median/Mean_Coverage_Normal	FWHM_Normal	Median/Mean_Coverage_Tumour	FWHM_Tumour	Somatic_Mutation_Calling_Coverage	%_of_paired_reads_mapping_to_different_chromosomes_Normal	%_of_paired_reads_mapping_to_different_chromosomes_Tumour	Ratio_of_difference_in_edits_between_paired_reads_Normal	Ratio_of_difference_in_edits_between_paired_reads_Tumour
SKCM-US	97d9dfc9-c937-48b4-b453-df081950419f	69d0bff4-eec5-40a7-ab3d-cba125bc29f7	5310f698-d31a-4628-84b4-dc9ac29722a5	5.0	36.64	73.84	1.026637088	0.094884221	1.034801924	0.0718851548	2826513350	2.90	2.05	1.306478906	1.213995269
SKCM-US	a01a350d-64be-4af3-91c3-7d681c3db11d	86e96814-fe03-47a8-8eb6-cdead9fe4f05	d056645f-4dd3-49f3-b0a4-2293e2b4d82c	5.0	42.20	62.33	0.9995807454	0.1497721908	1.019596454	0.1413075109	2786377549	2.01	1.67	1.222652022	1.100411549
SKCM-US	b5e37b9b-6264-4cc8-9b44-1d8ac0692d6c	3bf67116-be87-4c02-b931-352ebb7f3b48	3869ff3f-21b9-4817-8ff4-83c6fc75ab11	5.0	47.52	39.91	1.021470445	0.0762449039	1.010193954	0.2689951388	2781344348	2.24	2.22	1.155761863	1.153364029
SKCM-US	b6691e3c-ee3f-49a2-8bd4-2086413e5d8d	d7b2aeed-1a42-4335-a545-0d284fc5e463	978ae91e-6ebe-4efa-97ff-cfad511ae7b3	5.0	39.25	59.77	1.023133494	0.128895245	0.9863370248	0.2459660678	2791138347	2.24	1.32	1.400538855	1.130489698
SKCM-US	b85b14d7-3b5a-4800-af12-622ec03b9fe5	e694c1a2-86f0-43d0-95cc-4cfaf0b04060	3f98d326-5676-4257-9af8-0a5f5d3c2527	4.5	38.29	35.64	1.024695199	0.0872892021	0.9069241279	0.0753797169	2687439994	2.57	2.40	1.23237607	1.255032539
SKCM-US	be73fde2-d843-426b-9306-a02d3f2a754b	65d9054f-653a-4a10-9e25-1fe617481aa2	10bb1a92-901e-4a14-80f4-5e88f997754b	4.0	34.41	43.33	1.004694937	0.1092702519	0.9707888385	0.0879669668	2758003576	3.15	2.84	1.241218153	1.27432778
SKCM-US	c061ae6c-7a02-47c3-aecd-a56487c01603	231598d2-a4cd-4a61-b98a-3f41220659cd	6507e084-c038-4ba6-a431-fb9a53190d5f	5.0	37.28	34.17	1.02144977	0.0921932678	1.00878023	0.0917504176	2751920310	2.07	2.00	1.180688863	1.167724992
SKCM-US	c2948fe9-5798-43bc-a743-511e94e417f8	de373850-b2ca-457e-a345-c7634a1dd4fa	8ea666b7-2b6e-4df8-9a9d-b8265b9749b4	4.5	36.15	39.40	1.029346733	0.0927563595	0.9912422062	0.080292477	2771064548	2.67	3.06	1.232273792	1.256760141
SKCM-US	ce28f65d-4ae8-4e63-815f-5b8d4389e092	e7b47cec-4001-4426-81a0-86b345a56800	d053f88f-09e6-472e-a691-bb293c461399	5.0	32.57	65.45	0.9941786854	0.181121732	0.9279085393	0.1250007375	2766233108	1.67	1.65	1.616812958	1.252952427
SKCM-US	d32a4219-4cca-470f-b6b3-11447d9f5e0b	f0d22e58-5486-47c4-a316-e974e2bcbae6	15daadb0-6b24-4248-9225-470dc08f1552	5.0	35.49	33.37	1.02983268	0.0871121399	0.9657382175	0.0965817959	2711642485	1.84	2.21	1.183109752	1.229318924
SKCM-US	d6283ab0-9019-4ad2-93aa-2e6b39cd9641	c96762c7-78d0-49b8-a731-23b9158a0f5f	b07bad52-d44c-4b27-900a-960985bfadec	5.0	35.14	43.73	1.026877991	0.0805678851	1.014453673	0.2602920138	2802717402	2.44	2.22	1.195617296	1.407289985
SKCM-US	d7ee2693-39a8-4e3a-b6f6-e4729800e34e	9147bffe-0ece-4015-be88-2d7d440060c0	6c884037-49f9-41c3-b0e5-9cbcd545aeb7	5.0	36.03	75.18	1.02637693	0.0916701425	0.9769388184	0.0615920161	2808669554	2.55	2.21	1.293145653	1.050468449
SKCM-US	d8eac750-9daf-4465-b672-9e31fd369057	665797b6-021d-4cf4-8be5-138db70b1211	14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	5.0	42.54	53.02	0.9998554904	0.1665126889	0.9675803064	0.2408226315	2783365128	1.32	1.64	1.090995478	1.11545526
SKCM-US	e36c9411-773b-4a8e-9b43-895b3cb044c7	eb8c867e-d2da-48c7-bae7-5aea6d9aaf1d	2399ab13-abfa-480e-9fda-7947edc420be	5.0	44.80	53.26	0.9936951551	0.1703501202	0.9813854081	0.1853451705	2759224355	1.57	1.45	1.234445107	1.106981402
SKCM-US	fa099993-ef30-4eff-a8fb-aa41b5ea671a	ca8bfcec-4721-46d0-8c5a-7ac30d86e424	e2774050-1257-4c29-b201-d79ce70fe17e	5.0	36.54	69.56	1.02842479	0.1094987557	0.9857611681	0.066521614	2826718170	2.56	1.94	1.243047283	1.148727147
STAD-US	0aecac64-5982-4d76-8f31-958f6a00951d	af722e36-4912-45c4-b431-a2ceff596bac	c1b44966-0f72-4c4f-8783-ab3ffe7f17b2	5.0	48.20	65.62	1.030144833	0.0774718048	1.00674972	0.062860411	2828963495	2.78	2.04	1.329104363	1.280097613
STAD-US	0b4e8d73-459d-4930-9d1a-abb8d53e1844	8c55d79f-356a-4589-8403-cdfed8311550	6dac8ca0-f776-4ea2-85c4-aefba4966be7	5.0	48.32	59.83	1.029808764	0.0657602858	0.9331477566	0.0989451986	2815301353	2.97	1.86	1.412833262	1.146667304
